# NIEM Type Directory — one line per type for efficient semantic matching
# Format: qname | baseType | pattern | propCount | definition | topProperties
# Total: 2802 types
#
biom:DNASampleType | - | object | 22 | A data type for a DNA sample | BiometricCapture, DNAAnalysisQuantityCode, DNAClaimedRelationshipCode, DNACommentText, DNADonor, DNAElectropherogram, DNAElectropherogramLadder, DNAGenotypeAllelePair
biom:DNASourceCategoryCodeSimpleType | xs:token | simple_value | 0 | A data type for a description of the DNA source category | -
biom:DNASourceCategoryCodeType | biom:DNASourceCategoryCodeSimpleType | complex_value | 0 | A data type for a description of the DNA source category | -
biom:DNASourceType | - | object | 6 | A data type for a description of the DNA source such as the source category person vs. stain; cellular origin blood, etc | DNASampleOrigin, DNASourceAugmentationPoint, DNASourceCategoryCode, DNASourceCompositeIndicator, DNASourceIdentification, DNASourceKnownIndicator
biom:DNATypingTechnologyCategoryCodeSimpleType | xs:integer | simple_value | 0 | A data type for a kind of DNA typing technology | -
biom:DNATypingTechnologyCategoryCodeType | biom:DNATypingTechnologyCategoryCodeSimpleType | complex_value | 0 | A data type for a kind of DNA typing technology | -
biom:DNATypingTechnologyCodeSimpleType | xs:string | simple_value | 0 | A data type for a kind of DNA typing technology | -
biom:DNATypingTechnologyCodeType | biom:DNATypingTechnologyCodeSimpleType | complex_value | 0 | A data type for a kind of DNA typing technology | -
biom:Decimal2DigitPrecisionSimpleType | xs:decimal | simple_value | 0 | A data type for decimal values with 2 digit after decimal | -
biom:Decimal2DigitPrecisionType | biom:Decimal2DigitPrecisionSimpleType | complex_value | 0 | A data type of decimal that has a 2 decimal places | -
biom:DeltaDirectionMeasureSimpleType | xs:nonNegativeInteger | simple_value | 0 | A data type for a direction of a delta | -
biom:DeltaDirectionMeasureType | biom:DeltaDirectionMeasureSimpleType | complex_value | 0 | A data type for a direction of a delta | -
biom:DentalEncodingSystemInformationType | - | object | 6 | A data type for a set of information regarding the data collection schema that was used for the recording of dental info | DentalEncodingSystemInformationAugmentationPoint, MorphologyPositionalNumberingCode, RestorationDataGranularityCode, SystemNameCode, SystemVersionText, ToothPermanenceCategoryCode
biom:DentalHistoryDataInformationType | - | object | 3 | A data type for a description of the prior dental history of the subject, if known. | DentalHistoryADAReferenceCodeText, DentalHistoryAdditionalDescriptiveText, DentalHistoryDataInformationAugmentationPoint
biom:DentalRadiographImageInformationType | - | object | 5 | A data type for the information specific to dental radiographic imagery. | DentalRadiographImageInformationAugmentationPoint, RadiographImageInformationText, RadiographImageSeriesCodeText, RadiographImageSeriesText, RadiographSizeText
biom:DentalStudyReferenceCodeSimpleType | xs:token | simple_value | 0 | A data type for dental casts and impressions reference code | -
biom:DentalStudyReferenceCodeType | biom:DentalStudyReferenceCodeSimpleType | complex_value | 0 | A data type for dental casts and impressions reference code | -
biom:DentalStudyToothImprintInformationType | - | object | 5 | A data type to transmit information about models fabricated from a dental arch impression or tooth imprints. | DentalStudyAdditionalDescriptiveText, DentalStudyRecordingDate, DentalStudyRecordingDateEstimateRangeDuration, DentalStudyReferenceCode, DentalStudyToothImprintInformationAugmentationPoint
biom:DentalSubjectInformationType | - | object | 13 | A data type for a set of information regarding the status of the individual at the time when the relevant data was recor | DentalSubjectInformationAugmentationPoint, PersonBirthDate, PersonEthnicityText, SubjectBirthDateEstimateRangeDuration, SubjectCollectionLocationDescriptionText, SubjectDNARecordsAvailableCode, SubjectDeathAgeEstimateText, SubjectDeathDateRangeDuration
biom:DentalVisualImageCodeSimpleType | xs:token | simple_value | 0 | A data type for a visual image view code | -
biom:DentalVisualImageCodeType | biom:DentalVisualImageCodeSimpleType | complex_value | 0 | A data type for a visual image view code | -
biom:DentalVisualImageDataInformationType | - | object | 4 | A data type that allows the entry of information concerning type-10 images of the mouth. | DentalVisualImageCode, DentalVisualImageComparisonDescriptiveText, DentalVisualImageDataInformationAugmentationPoint, DentalVisualImageDescriptiveText
biom:DeviceCertificationCodeSimpleType | xs:token | simple_value | 0 | A data type of code that indicates the conformance testing a product has undergone | -
biom:DeviceCertificationCodeType | biom:DeviceCertificationCodeSimpleType | complex_value | 0 | A data type for a code that indicates the conformance testing a product has undergone | -
biom:DeviceType | - | object | 11 | A data type definition contains a set of information regarding the captured device information | DeviceAugmentationPoint, DeviceCategoryText, DeviceDescriptionText, DeviceFirmwareVersionText, DeviceID, DeviceMakeText, DeviceManufacturerText, DeviceModelText
biom:DiarizationIndicatorCodeSimpleType | xs:integer | simple_value | 0 | A data type for a Diarization Indicator Code. | -
biom:DiarizationIndicatorCodeType | biom:DiarizationIndicatorCodeSimpleType | complex_value | 0 | A data type for a Diarization Indicator Code. | -
biom:DiaryDetailListType | - | object | 2 | A data type for a list of uniquely identified time segments, giving start and end times of each, relative to the absolut | DiarizationDetail, DiaryDetailListAugmentationPoint
biom:DiaryDetailType | - | object | 8 | A data type that uniquely identifies time segments, giving start and end times of each relative to the absolute beginnin | DiaryDetailAugmentationPoint, OriginalRecordingDate, SegmentID, TimeCommentText, TimeSegment, TimeSegmentCommentText, TimeSegmentTrackList, TimeSourceDescriptionText
biom:DiaryInformationType | - | object | 6 | A data type that lists basic information and timings within the voice recording of interest. | DiaryCommentText, DiaryInformationAugmentationPoint, RelativeEndTimeInMSValue, RelativeStartTimeInMSValue, SegmentID, TrackChannelList
biom:DigitalAudioRecordHashValueSimpleType | xs:string | simple_value | 0 | A data type for a hash value computed from a binary object, like a digital audio record | -
biom:DigitalAudioRecordHashValueType | biom:DigitalAudioRecordHashValueSimpleType | complex_value | 0 | A data type for a hash value computed from a binary object, like a digital audio record | -
biom:DigitalMediaContainerFormatCodeSimpleType | xs:token | simple_value | 0 | A data type for a description of the digital container format which encapsulates audio data in an electronic digital rec | -
